,url,price,currency,expenses,expenses_type,location,total_area,covered_area,total_rooms,bathrooms,bedrooms,parking,real_state_agency,reserved,description
10,/propiedades/departamento-en-a-estrenar-2-ambientes-full-amenites-y-52510881.html,Consultar precio,,$ 40.000 Expensas,$,"Palermo Hollywood, Palermo",45,40,2 amb.,1 baño,1 dorm.,1 coch.,True,False,"Increíble departamento a estrenar en la mejor zona de Palermo Hollywood. Niceto Vega al 5700 en la av. Con todos los medios de comunicación. A estrenar gran proyecto de Extrema categoría de Aisenson. 2 ambientes con habitaciones principal en suite y toilete de recepción. Detalles de categoria y terminación. Areas comunes super equipadas: Gym, solarium, pileta con deck, quincho, parrillas y Spa completo. Cochera fija. Expensas: $40. 000. -Valor u$u700. - -Se deja constancia que las medidas, superficies, m2 y proporciones consignadas son aproximados, al igual que las medidas parciales y/o de los ambientes esta sujeto a verificación y/o ajuste. El valor indicado de expensas esta sujeto a variación. El precio del inmueble puede ser modificado sin previo aviso. Fotos de carácter no contractual. ezequiel wierzba martillero publico, C. U. C. I. C. B. A 6383. eduardo percy fernandez davila coquinche C. M. Z. C 578. -click aparts Contáctenos: Oficina: +Ver datosCelular: +Ver datos 5 Ver datosE-mail: Ver datos: Facebook: /click. apartsInstagram: /click. aparts"
11,/propiedades/departamento-en-alquiler-ubicado-en-la-reserva-52333086.html,Consultar precio,,$ 70.000 Expensas,$,"La Reserva Cardales, Campana",133,133,4 amb.,,3 dorm.,1 coch.,True,False,"Excelente departamento en alquiler a 1000usd de 4 ambientes en Duplex. Desarrollado en dos plantas, hall de recepcion, amplio living comedor, cocina con barra desayunadora. Amplia terraza con parrilla con excelente vista al Golf. Planta Alta. Tres dormitorios, principal en suite con vestidor y un baño completo. Calefaccion por losa radiante. Muy buen estado de mantenimiento. Amoblado."
12,/propiedades/alquiler-temporario!-amoblado-y-equipado!-t-a-nuevo!-52375324.html,USD 370.000,USD,$ 22.000 Expensas,$,"Palermo Chico, Palermo",40,40,2 amb.,1 baño,1 dorm.,,True,False,"Alquiler temporario! Amoblado Y equipado! Impecable! Muy luminoso! Excelente distribución! Amplio! Palier semi privado! Living- comedor! 1 Dormitorio! Amplios placares! Baño completo! Cocina completa! Lavadero independiente! Todo A nuevo! Entrada de servicio! Pisos de madera! 1 Split Frio- calor! Apto profesional! Inmejorable ubicación! Todos los medios de transporte! Único! Oportunidad! * Esta propiedad no posee rampa de acceso para personas con movilidad reducida. *Las descripciones, medidas, superficies y proporciones consignadas en esta ficha son aproximadas, sólo se muestran a modo orientativo. Los montos de expensas y servicios deben ser confirmados ya que dependen de la fecha en la que se obtuvo la información. Matrícula cucicba 2204"
13,/propiedades/alquiler-de-2-ambientes-villa-urquiza-52652172.html,$ 350.000,$,$ 30.700 Expensas,$,"Villa Urquiza, Capital Federal",50,,2 amb.,1 baño,1 dorm.,,True,False,"Alquiler en Av. Triunvirato 4111/ Departamento 2 AmbientesSe Alquila excelente departamentos de 2 ambiente ubicado en Piso 5º unidad A. Vista Frente. Gran living/comedor con salida a balcón. Cocina totalmente equipada con muebles bajo y sobre mesada y lavadero. Una habitación con placard completo y equipo de Aire Acondicionado. 1 Baño completo. Calefacción Estufa de tiro balanceado. Agua Caliente central. El edificio cuenta con, ascensor, sum con parrilla y laundry. Estratégicamente ubicado en una de las mejores áreas de Villa Urquiza, entre las calles Pampa y Echeverria a metros de la Linea B del Subte y acceso a otros medios de transporte, locales gastronómicos, cafés, supermercados y locales comerciales. Condiciones: -Garantía de propiedad en Capital Federal, sistemas de Fianza, Garantías o Caución. -Comprobantes de Sueldo o certificación de ingresos avalada por un contador, legalizada por el colegio Profesional. -1mes de depósito-1mes de adelanto. -No se aceptan mascotas-Contrato a 36 meses-Alquiler ($350. 000)"
14,/propiedades/departamento-de-2-amb.-en-alquiler-en-torre-horizons-52458531.html,Consultar precio,,$ 75.000 Expensas,$,"Vicente López, GBA Norte",64,53,2 amb.,1 baño,1 dorm.,1 coch.,True,False,"Departamento de dos ambientes con cochera cubierta y baulera en la distinguida Torre Horizons. Disponible a partir del 1 de Febrero de 2024. Se ofrece en alquiler temporario por 6 meses / 1 año, con posible renovación. Sin amoblar. El precio del alquiler mensual es de usd800. - (dólar billete) + expensas comunes ordinarias, servicios e impuesto municipal de Vicente López. Se trata de un amplio departamento de dos ambientes, segundo piso al frente con vista hacia Av. Libertador, muy luminoso. Living-comedor con cocina integrada. Dormitorio de buenas dimensiones con vestidor. Balcón corrido, con salida desde ambos ambientes. Baño completo, con ducha. El agua caliente es central, el horno y anafe son a gas. Tiene instalado equipos de aa en living y en el dormitorio. Aberturas dvh. Conexión para lavarropas en cocina. Cochera fija cubierta y baulera, incluidas en el precio. El complejo Horizons posee amenities de primer nivel como piscina climatizada, gym, spa, salón de fiestas, salón gourmet con parrilla, salón para chicos, salón para adolescentes, work zone y sector de laundry. Seguridad las 24 horas. Condiciones delalquiler: -Demostración de ingresos-Garantía propietariaSe aceptan mascotas pequeñasQuedamos atentos a su consulta!"
15,/propiedades/departamento-2-ambientes-en-duplex-en-san-nicolas-52498891.html,Consultar precio,,$ 62.000 Expensas,$,"San Nicolás, Capital Federal",50,50,2 amb.,1 baño,1 dorm.,,True,False,"Departamento 2 Amb En duplex en alquiler en san nicolasdepartamento en duplex en Excelente Estado en Alquiler temporarioamueblado. Alquiler de 1 año (con posibilidad de extenderlo) Primer Planta Living comedor con cocina Integrada, y desayundar, y balcón Francés. 2da planta pasillo distribuidor(con Placares de en sus laterales) , hacia un gran dormitorio y Baño Completo. Habitación de excelente tamaño y placard completo. Losa Radiante en todo el DepartamentoLuminoso. Vista DespejadaFresco. Recientemente Refaccionado. *Es apto profesionalrequisitos de ingreso*depósito 1 mes*garantía: pago de meses por adelantado/seguro de caución/garantia propietaria caba*no apto mascotas*comisiónEl Departamento se encuentra habitado por propietario, a la espera de cerrar alquiler para mudarse. Heladera, Cocina, Mesa y sus sillas, Sillon. Vajilla. 2 Camas en Habitación."
16,/propiedades/departamento-en-centro-52689155.html,$ 230.000,$,$ 18.000 Expensas,$,"Centro, Córdoba",40,40,2 amb.,1 baño,1 dorm.,,True,False,"Ofrecemos en alquiler departamento a pasos de Nueva Cordoba. Ubicado sobre calle Balcarce al 300 casi esquina Bv. San Juan a metros de la Terminal de Colectivos. Se encuentra en un piso 3 con acceso por escalera. Esta reciclado y cuenta con: - Cocina con barra desayunadora. - Living comedor. - Baño con ventilación natural. - Dormitorio con placar. Contrato por 3 años con ajustes semestrales en base a indice. Requisitos: - Una garantía propietaria. - Dos recibos de sueldos superiores a $250. 000. Antigüedad mínima de 2 años. - En caso de no contar con garantía propietaria, se pueden presentar recibos de sueldos solos. La cantidad dependerá de los importes de los mismos. * La aprobación de las garantías queda sujeta a evaluación. aviso: Propiedad en alquiler con intermediación del corredor inmobiliario Faginoli Matias, cpi 4417. La información contenida en esta publicación es meramente referencial, los datos publicados no constituyen oferta alguna estando sujetos a disponibilidad y a la confirmación de el/los propietario/s por lo que sus términos no son vinculantes y pueden variar sin previo aviso. Los datos y valores contenidos en la publicación no incluyen los gastos que represente la operación inmobiliaria como por ejemplo gastos de escribanía por escritura, timbrado de contrato, comisión inmobiliaria. Los interesados deberán contactarse por los medios publicados para informarse sobre las condiciones de la oferta y poder avanzar con las gestiones tendientes a la concreción de la operación inmobiliaria. -"
17,/propiedades/edificio-brisas-de-puerto-madero.-alquiler-2-ambientes-52423082.html,Consultar precio,,$ 60.000 Expensas,$,"Puerto Madero, Capital Federal",55,48,2 amb.,1 baño,1 dorm.,,True,False,"Departamento de primera categoría en edificio Brisas de Puerto Madero. En ubicación estratégica, rodeado de lugares de interés, espacios verdes, restaurantes y comercios. De fácil acceso y con rápida salida para el centro de la Ciudad. El dpto. Se entrega recién pintado, amplio dormitorio, living y baño completo. Cortinas roller Black Out y Sunscreen. Cocina independiente con muebles bajo mesada y alacena, anafe y horno a gas. Balcón al frente. Cerramientos doble vidrio, aire acondicionado y calefacción central. Se puede entregar semi amoblado, con heladera, cama, mesa y sillón, tv. Edificio de categoría con amenities: Importante lobby, ingresos centralizados, vigilancia 24 hs., Ascensores ultima generación, comunicación interna entre todas las unidades, cochera de cortesía, jardín parquizado con piscinas climatizadas, sum, gimnasio, sauna, laundry. Dirección: Olga Cossettini 1660 (Entre: Encarnación Ezcurra y Rosario Vera Peñaloza)"
18,/propiedades/departamento-en-alquiler-en-nunez-capital-federal-52655128.html,$ 400.000,$,$ 34.200 Expensas,$,"Núñez, Capital Federal",43,39,2 amb.,1 baño,1 dorm.,,True,False,"Semipiso de 2 amb. En el corazón de Núñez. Amplio living comedor a balcón aterrazado. Cocina integrada con barra. Dormitorio con placard. Servicios centrales. Excelente ubicación, a 100 mts. De Av. Cabildo y Metrobus y a 5 cuadras del subte línea D. Alquiler más gastos. Mes adelantado, mes de deposito, garantia propietaria ó poliza de caución Finaer, demostración de ingresos."
19,/propiedades/chacabuco-1384-52650324.html,$ 380.000,$,$ 28.500 Expensas,$,"Martin, Rosario",85,75,,2 baños,2 dorm.,,True,False,"Paganini Alquila piso exclusivo Chacabuco 1300, frente parque Urquiza, persianas eléctricas, semia mueblado, living comedor con la cocina semi separada, externo con balcón terraza, dos dormitorios con placard, dos baños, lavadero independiente, amenities, quincho y pileta. Aberturas de doble vidrio, calefaccion por radiadores."
